id,name,category,hasImg,title,artist
4209,tt0054130,1,1,La notte,Michelangelo Antonioni
4210,tt0061395,1,1,Belle de jour,Luis BuÃ±uel
4211,tt0098273,1,1,Sea of Love,Harold Becker
4212,tt0119217,1,1,Good Will Hunting,Gus Van Sant
4213,tt0187393,1,1,The Patriot,Roland Emmerich
4214,tt0105236,1,1,Reservoir Dogs,Quentin Tarantino
4215,tt0116922,1,1,Lost Highway,David Lynch
4216,tt2053463,1,1,Side Effects,Steven Soderbergh
4217,tt1602620,1,1,Amour,Michael Haneke
4218,tt0087469,1,1,Indiana Jones and the Temple of Doom,Steven Spielberg
4219,tt0092965,1,1,Empire of the Sun,Steven Spielberg
4220,tt0120669,1,1,Fear and Loathing in Las Vegas,Terry Gilliam
4221,tt0106307,1,1,Arizona Dream,Emir Kusturica
4222,tt0097239,1,1,Driving Miss Daisy,Bruce Beresford
4223,tt0087003,1,1,Broadway Danny Rose,Woody Allen
4224,tt0434409,1,1,V for Vendetta,James McTeigue
4225,tt0861739,1,1,Tropa de Elite,JosÃ© Padilha
4226,tt1659337,1,1,The Perks of Being a Wallflower,Stephen Chbosky
4227,tt0055798,1,1,Birdman of Alcatraz,"Charles Crichton, John Frankenheimer"
4228,tt0264395,1,1,Basic,John McTiernan
4229,tt0070849,1,1,Ultimo tango a Parigi,Bernardo Bertolucci
4230,tt3089778,1,1,De behandeling,Hans Herbots
4231,tt3783958,1,1,La La Land,Damien Chazelle
4232,tt0887883,1,1,Burn After Reading,"Joel Coen, Ethan Coen"
4233,tt0492931,1,1,The 11th Hour,"Nadia Conners, Leila Conners"
4234,tt0242653,1,1,The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski"
4235,tt2119532,1,1,Hacksaw Ridge,Mel Gibson
4236,tt0114702,1,1,Total Eclipse,Agnieszka Holland
4237,tt0109830,1,1,Forrest Gump,Robert Zemeckis
4238,tt0338013,1,1,Eternal Sunshine of the Spotless Mind,Michel Gondry
4239,tt1937264,1,1,Now Is Good,Ol Parker
4240,tt0878804,1,1,The Blind Side,John Lee Hancock
4241,tt3460252,1,1,The Hateful Eight,Quentin Tarantino
4242,tt0115751,1,1,Breaking the Waves,Lars von Trier
4243,tt1535109,1,1,Captain Phillips,Paul Greengrass
4244,tt0092005,1,1,Stand by Me,Rob Reiner
4245,tt0203119,1,1,Sexy Beast,Jonathan Glazer
4246,tt0069947,1,1,The Day of the Jackal,Fred Zinnemann
4247,tt0119008,1,1,Donnie Brasco,Mike Newell
4248,tt0067309,1,1,Klute,Alan J. Pakula
4249,tt2042568,1,1,Inside Llewyn Davis,"Joel Coen, Ethan Coen"
4250,tt0443706,1,1,Zodiac,David Fincher
4251,tt0096895,1,1,Batman,Tim Burton
4252,tt2370248,1,1,Short Term 12,Destin Daniel Cretton
4253,tt0203019,1,1,Men of Honor,George Tillman Jr.
4254,tt0166924,1,1,Mulholland Dr.,David Lynch
4255,tt0107507,1,1,Manhattan Murder Mystery,Woody Allen
4256,tt1020072,1,1,Selma,Ava DuVernay
4257,tt0210945,1,1,Remember the Titans,Boaz Yakin
4258,tt0397535,1,1,Memoirs of a Geisha,Rob Marshall
4259,tt1233301,1,1,Ironclad,Jonathan English
4260,tt0082933,1,1,Possession,Andrzej Zulawski
4261,tt0110005,1,1,Heavenly Creatures,Peter Jackson
4262,tt0327056,1,1,Mystic River,Clint Eastwood
4263,tt0381681,1,1,Before Sunset,Richard Linklater
4264,tt0416449,1,1,300,Zack Snyder
4265,tt1212450,1,1,Lawless,John Hillcoat
4266,tt0104573,1,1,Juice,Ernest R. Dickerson
4267,tt2582802,1,1,Whiplash,Damien Chazelle
4268,tt0074958,1,1,Network,Sidney Lumet
4269,tt0276919,1,1,Dogville,Lars von Trier
4270,tt1191111,1,1,Enter the Void,Gaspar NoÃ©
4271,tt0060138,1,1,Au hasard Balthazar,Robert Bresson
4272,tt1398426,1,1,Straight Outta Compton,F. Gary Gray
4273,tt0326208,1,1,Stander,Bronwen Hughes
4274,tt0087553,1,1,The Killing Fields,Roland JoffÃ©
4275,tt0082096,1,1,Das Boot,Wolfgang Petersen
4276,tt0116367,1,1,From Dusk Till Dawn,Robert Rodriguez
4277,tt1464540,1,1,I Am Number Four,D.J. Caruso
4278,tt0070666,1,1,Serpico,Sidney Lumet
4279,tt0120102,1,1,Seven Years in Tibet,Jean-Jacques Annaud
4280,tt0443272,1,1,Lincoln,Steven Spielberg
4281,tt0221073,1,1,Chopper,Andrew Dominik
4282,tt0071746,1,1,Lenny,Bob Fosse
4283,tt0094332,1,1,The Witches of Eastwick,George Miller
4284,tt1067583,1,1,Water for Elephants,Francis Lawrence
4285,tt1664894,1,1,Cave of Forgotten Dreams,Werner Herzog
4286,tt0295700,1,1,Wrong Turn,Rob Schmidt
4287,tt0375063,1,1,Sideways,Alexander Payne
4288,tt0071853,1,1,Monty Python and the Holy Grail,"Terry Jones, Terry Gilliam"
4289,tt0081070,1,1,The Long Good Friday,John Mackenzie
4290,tt1403865,1,1,True Grit,"Joel Coen, Ethan Coen"
4291,tt0206634,1,1,Children of Men,Alfonso CuarÃ³n
4292,tt0315543,1,1,Elsker dig for evigt,Susanne Bier
4293,tt0116282,1,1,Fargo,"Joel Coen, Ethan Coen"
4294,tt2080374,1,1,Steve Jobs,Danny Boyle
4295,tt0119468,1,1,Kiss the Girls,Gary Fleder
4296,tt0079817,1,1,Rocky II,Sylvester Stallone
4297,tt0414993,1,1,The Fountain,Darren Aronofsky
4298,tt0112883,1,1,Don Juan DeMarco,Jeremy Leven
4299,tt0113118,1,1,Friday,F. Gary Gray
4300,tt2375605,1,1,The Act of Killing,"Joshua Oppenheimer, Christine Cynn, Anonymous"
4301,tt0086541,1,1,Videodrome,David Cronenberg
4302,tt3397884,1,1,Sicario,Denis Villeneuve
4303,tt0265086,1,1,Black Hawk Down,Ridley Scott
4304,tt0489037,1,1,Who Killed the Electric Car?,Chris Paine
4305,tt0117951,1,1,Trainspotting,Danny Boyle
4306,tt0397313,1,1,Eight Below,Frank Marshall
4307,tt0106881,1,1,Fearless,Peter Weir
4308,tt0075686,1,1,Annie Hall,Woody Allen
4309,tt0274812,1,1,Secretary,Steven Shainberg
4310,tt1855199,1,1,End of Watch,David Ayer
4311,tt0065234,1,1,Z,Costa-Gavras
4312,tt0056172,1,1,Lawrence of Arabia,David Lean
4313,tt1194173,1,1,The Bourne Legacy,Tony Gilroy
4314,tt0452623,1,1,Gone Baby Gone,Ben Affleck
4315,tt0089881,1,1,Ran,Akira Kurosawa
4316,tt0120885,1,1,Wag the Dog,Barry Levinson
4317,tt0106856,1,1,Falling Down,Joel Schumacher
4318,tt1182345,1,1,Moon,Duncan Jones
4319,tt0109579,1,1,Death and the Maiden,Roman Polanski
4320,tt0384537,1,1,Silent Hill,Christophe Gans
4321,tt1392214,1,1,Prisoners,Denis Villeneuve
4322,tt0430105,1,1,Four Brothers,John Singleton
4323,tt0067128,1,1,Get Carter,Mike Hodges
4324,tt1296898,1,1,Waiting for Forever,James Keach
4325,tt0765429,1,1,American Gangster,Ridley Scott
4326,tt0300140,1,1,Lilja 4-ever,Lukas Moodysson
4327,tt1152836,1,1,Public Enemies,Michael Mann
4328,tt0061578,1,1,The Dirty Dozen,Robert Aldrich
4329,tt0094056,1,1,Street Smart,Jerry Schatzberg
4330,tt0964185,1,1,Tetro,Francis Ford Coppola
4331,tt1103275,1,1,Two Lovers,James Gray
4332,tt0109642,1,1,Dolores Claiborne,Taylor Hackford
4333,tt0884328,1,1,The Mist,Frank Darabont
4334,tt0401792,1,1,Sin City,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
4335,tt1242460,1,1,We Need to Talk About Kevin,Lynne Ramsay
4336,tt0099685,1,1,Goodfellas,Martin Scorsese
4337,tt1389096,1,1,Stand Up Guys,Fisher Stevens
4338,tt0052618,1,1,Ben-Hur,William Wyler
4339,tt1360860,1,1,Darbareye Elly,Asghar Farhadi
4340,tt0292610,1,1,No Good Deed,Bob Rafelson
4341,tt0247586,1,1,Nueve reinas,FabiÃ¡n Bielinsky
4342,tt0268978,1,1,A Beautiful Mind,Ron Howard
4343,tt2872718,1,1,Nightcrawler,Dan Gilroy
4344,tt0283139,1,1,White Oleander,Peter Kosminsky
4345,tt0084911,1,1,Witness for the Prosecution,Alan Gibson
4346,tt3300542,1,1,London Has Fallen,Babak Najafi
4347,tt1670345,1,1,Now You See Me,Louis Leterrier
4348,tt1439572,1,1,Perfect Sense,David Mackenzie
4349,tt0332280,1,1,The Notebook,Nick Cassavetes
4350,tt5247022,1,1,Paterson,Jim Jarmusch
4351,tt0078718,1,1,...and justice for all.,Norman Jewison
4352,tt1714915,1,1,Only Lovers Left Alive,Jim Jarmusch
4353,tt0074285,1,1,Carrie,Brian De Palma
4354,tt0057115,1,1,The Great Escape,John Sturges
4355,tt0118749,1,1,Boogie Nights,Paul Thomas Anderson
4356,tt0408306,1,1,Munich,Steven Spielberg
4357,tt0111693,1,1,When a Man Loves a Woman,Luis Mandoki
4358,tt1433813,1,1,Hubble 3D,Toni Myers
4359,tt2125435,1,1,Beasts of the Southern Wild,Benh Zeitlin
4360,tt1937149,1,1,El cuerpo,Oriol Paulo
4361,tt0095174,1,1,Frantic,Roman Polanski
4362,tt0264796,1,1,Life as a House,Irwin Winkler
4363,tt0088184,1,1,Stranger Than Paradise,Jim Jarmusch
4364,tt0477348,1,1,No Country for Old Men,"Joel Coen, Ethan Coen"
