idx,term_id,term,relevance,x,y,z
0,4192,director,-5.872000217437744,19.204214440316466,9.925982040599596,-0.1411861172471848
1,1380,writer,-6.123899936676025,13.065851078455685,7.702947926645586,0.15885648953965642
2,688,story,-6.363399982452393,19.24624762799913,9.942479352659893,-0.3086161649874049
3,4203,filmmaker,-6.368000030517578,12.971479905230543,8.011863405227558,-0.42423914895206416
4,20462,writer_director,-6.393099784851074,11.576045452746339,7.529419664228919,0.1569254746351756
5,929,character,-6.427999973297119,19.145267146010614,9.963925143811387,-0.14687401397718253
6,1590,look,-6.544099807739258,18.062491411453138,10.095884646923167,0.4957846488865642
7,653,real,-6.544899940490723,17.625000640825522,9.924230011461555,0.0697959351195407
8,1192,feeling,-6.614200115203857,16.338172349090826,9.684028533442259,-0.21010437740362706
9,1207,going,-6.664100170135498,15.565803359659336,9.618316002758151,-0.4156689430023241
10,777,dream,-6.688799858093262,16.02899384926742,8.69208984511683,-0.11356057617211716
11,2226,hour,-6.7052998542785645,16.964093200877347,8.966614794581874,0.00017798294311072594
12,161,original,-6.714200019836426,17.10772996406238,9.95790271594759,0.8462868854972062
13,32,career,-6.774700164794922,15.082555581974255,8.92893014529847,0.7034978643543278
14,1059,screen,-6.7967000007629395,13.505133041067797,7.977119641142339,-0.3736553180515695
15,10835,allen,-6.812699794769287,12.267604192453568,8.089423537007079,-0.3832020786299561
16,2702,dark,-6.825699806213379,16.85731792251803,9.820649953268418,-0.07043065658474672
17,330,experience,-6.827499866485596,15.520134445448269,8.349209579476794,0.02901331768941234
18,601,length,-6.831500053405762,15.34356496390603,8.967435347438233,0.07320182674284836
19,1102,actually,-6.860099792480469,14.816155327412583,9.479568855251374,-0.1297909831879342
20,454,version,-6.871799945831299,15.544309052677642,9.668713497153675,0.815061137188123
21,368,material,-6.901400089263916,16.205844741514174,9.902556341131307,0.5975955294772347
22,990,head,-6.904600143432617,15.258757700188351,9.321360990267301,-0.41173994721660895
23,392,recording,-6.906899929046631,14.933806755519923,9.649381714172941,0.615653705132735
24,976,folk,-6.911399841308594,17.082542133248737,10.408088744717048,0.3566457436617123
25,1216,heart,-6.920499801635742,17.692321238990633,10.301649328516522,0.2244138906701292
26,129,label,-6.952199935913086,15.413921456154549,9.550566844228802,0.43677747971228087
27,2564,american,-6.9567999839782715,17.993112927746825,10.273772819873965,0.6851546578744249
28,332,fact,-6.9756999015808105,14.716301045434193,9.039361832866852,-0.03656815206649394
29,63,effect,-6.976200103759766,16.40171263158524,9.21905065143828,0.25645644204944873
30,2027,white,-6.990200042724609,16.322314235623868,9.095900246444858,0.6906710143793444
31,363,later,-6.996600151062012,13.27189942317792,8.986095843016999,0.38261608502157485
32,542,emotional,-6.997700214385986,15.09070537024101,8.577834250135918,-0.3572303704288572
33,4,acoustic,-7.020100116729736,14.956854684920982,9.942363883817531,0.22055517956385273
34,315,decade,-7.026500225067139,14.831342880381813,9.021754814449512,0.60480062540863
35,1121,beam,-7.029799938201904,-7.429119145230396,-4.27137686423016,0.08589527932662555
36,3116,performance,-7.030399799346924,19.27380213989333,9.93368258466901,-0.3345532249592711
37,735,young,-7.031700134277344,15.903483854073322,9.169121364322304,-0.4602399875892672
38,2336,drama,-7.041800022125244,18.311289229920938,9.71856805081865,0.6979280630045168
39,666,role,-7.050099849700928,12.683786765693142,8.357379949998094,-0.05200781778934301
40,541,element,-7.05210018157959,13.844108684840727,8.783066512402826,0.010890144425782556
41,1172,down,-7.072299957275391,15.548995291278967,9.800580349173702,-0.005839274679494474
42,1995,project,-7.075500011444092,15.624727219812039,9.174216273196114,0.5620476247600592
43,5083,woody,-7.076300144195557,-7.38971292244063,-4.472227376881062,-0.28285254626679446
44,152,need,-7.083399772644043,17.29392617494519,10.030708086277809,0.03873387249316293
45,552,final,-7.093599796295166,12.963784991438699,8.631020131499536,0.24029918570937137
