idx,term_id,term,relevance,x,y,z
0,2060,death,-6.216300010681152,10.600790651413442,13.085073778843292,7.418267647312074
1,2099,metal,-6.504799842834473,10.49537664746823,13.382546053438492,7.450890625738042
2,2027,white,-6.528500080108643,10.13025180353845,12.003174347143608,5.999279443106304
3,4353,adam,-6.537600040435791,6.745973164441964,7.6159197510563,5.60263089168708
4,2222,home,-6.642000198364258,9.527348508459076,11.431444401485253,7.3216116353616085
5,688,story,-6.64709997177124,9.560103797138277,14.412378414030428,7.578798911551815
6,1991,part,-6.671999931335449,9.830713809660272,12.410295568460917,7.517913246907103
7,315,decade,-6.717100143432617,9.143493044269938,10.512707981744072,6.550170027094279
8,2702,dark,-6.745800018310547,10.235513850912856,12.37238689015779,7.4927609943857325
9,112,house,-6.749199867248535,10.117452117369918,12.91800936494092,7.817051712011064
10,793,form,-6.74970006942749,8.800118580409144,10.0431670138821,6.492086248831595
11,421,space,-6.785099983215332,9.266688838255678,11.217692035190797,7.195053029694602
12,1192,feeling,-6.808000087738037,9.62336777805649,12.172352308713322,7.388243640422467
13,131,left,-6.8105998039245605,9.370537011319017,11.22785416692142,6.422776042779406
14,223,start,-6.839200019836426,9.327181250308524,11.607381838136856,7.146205091450102
15,411,show,-6.8566999435424805,9.334874613934838,11.665676561042467,6.783424148686043
16,639,playing,-6.881999969482422,8.900582441034272,10.77677863042356,6.864832722781917
17,392,recording,-6.885499954223633,9.485058100497323,10.602441750100892,6.8305876794590255
18,129,label,-6.897900104522705,9.451975981947154,10.950074991930613,7.0645608811225955
19,1995,project,-6.899899959564209,9.699320949663731,11.0436699118142,7.021552614130839
20,653,real,-6.900000095367432,10.162953938400646,13.11176306639332,7.876723534985006
21,300,close,-6.910799980163574,8.922070907112081,11.333835451116263,6.73310305179148
22,1216,heart,-6.9141998291015625,10.174367491089598,13.277995725531364,7.908648082579314
23,1590,look,-6.914899826049805,10.22721384362302,13.576112739341504,7.791062117380497
24,416,slow,-6.914899826049805,8.723731178849592,10.241127818361733,6.843161464516686
25,63,effect,-6.921800136566162,9.532708109607285,12.244461460011657,7.255305310720502
26,111,hook,-6.930699825286865,8.36278296594524,9.360086549396675,6.168349622793582
27,1599,night,-6.93149995803833,10.07590775440549,11.377257337693427,7.074780624510409
28,373,musical,-6.941100120544434,9.17219007829716,10.443602758462468,6.399809167971622
29,85,genre,-6.955399990081787,10.003063143773046,12.736848027240017,7.516277663078946
30,391,recorded,-6.95959997177124,9.262508228593681,10.087463702131148,6.614493228970895
31,1325,scene,-6.983799934387207,10.162176345285706,13.76973602670483,7.771514139381192
32,144,mean,-6.990099906921387,9.203717201435566,11.512629371424666,6.331906643341855
33,2564,american,-6.999800205230713,10.221732786728529,13.668264505737339,7.793710616083592
34,2275,riff,-7.006100177764893,8.562586414995165,10.305787014366272,6.414938294977982
35,543,energy,-7.006700038909912,7.573660576369075,8.80277273698307,6.0264462004818835
36,1175,easy,-7.007900238037109,8.970623590953956,11.397854801288942,7.201598336934467
37,4384,hardcore,-7.008200168609619,7.423336157527147,8.221684480051534,6.003250357303277
38,777,dream,-7.01230001449585,10.02100233754232,11.715624120891473,6.900124386048322
39,1447,listener,-7.023200035095215,8.567610969297107,9.347227272302176,6.21715370474471
40,3116,performance,-7.0366997718811035,9.55091549551436,14.43318347121586,7.572637284932885
41,4017,hell,-7.0391998291015625,7.319529805942874,8.081097738597295,5.913613247190949
42,26,break,-7.05109977722168,7.914828494732702,8.546519233040033,5.939662956282938
43,412,singing,-7.051199913024902,8.279762146005226,8.830204087420501,6.006440573862338
44,1969,focus,-7.056300163269043,7.98033547223709,8.36567955052316,5.693595116473578
45,136,lost,-7.058300018310547,9.642671888055165,11.675666276121365,6.731065962565243
46,228,studio,-7.075200080871582,9.375792388240392,10.297488020003456,6.626905971002866
47,29,called,-7.076300144195557,8.066572550172776,8.710087163648593,6.117212841170881
48,495,change,-7.088399887084961,8.68555713535727,9.483998326625978,6.193311076139486
49,2459,deep,-7.096199989318848,8.706779263388256,9.424190578895484,6.580902027051016
50,703,these,-7.099100112915039,8.314440501022665,8.950899971739684,6.063308845521921
51,77,fan,-7.106599807739258,7.998466028767141,8.420048278138974,6.003296137971805
52,2728,force,-7.172900199890137,7.219383906230094,7.705867645167175,5.667272453105017
53,2077,fire,-7.186299800872803,7.437544808434205,8.330593639298899,5.799247792234025
54,898,trio,-7.201399803161621,7.439615726747833,7.828877630805811,5.596696709258888
55,2712,entirely,-7.2540998458862305,7.493471022193278,7.767439173379275,5.7756760974341175
56,403,ride,-7.353499889373779,7.093896151047432,7.716310348895554,5.615792184625433
57,6040,grip,-7.479000091552734,-5.986657747847092,-4.228632659806055,-4.785728632409585
