idx,term_id,term,relevance,x,y,z
0,3116,performance,-6.3379998207092285,1.3565497859480111,-8.338285136413834,12.812887473679785
1,976,folk,-6.357699871063232,2.1271071518662508,-7.086729102562936,11.571926027589921
2,175,pretty,-6.515900135040283,1.9174904698280228,-7.2006006389377415,11.730320832989381
3,688,story,-6.5569000244140625,1.3635113085164183,-8.317838796288203,12.816434252200173
4,228,studio,-6.621799945831299,1.8113511353152298,-6.349036891596156,8.344130806664495
5,50,despite,-6.64709997177124,0.9291977743350472,-6.899972148741199,9.531880674614191
6,929,character,-6.6768999099731445,1.3864906041726508,-8.239686183654928,12.803765472959409
7,381,over,-6.697000026702881,1.764888153531751,-6.938674553307816,8.658097990621428
8,1325,scene,-6.700500011444092,1.6066709067377445,-7.278052971185382,12.548047328195626
9,1216,heart,-6.764900207519531,1.7317240351441672,-6.98651515446514,12.0301145411533
10,653,real,-6.770699977874756,1.795682250253623,-7.162979177245564,11.924890706268009
11,2645,songwriter,-6.7779998779296875,1.5625740630503464,-6.354402429168007,7.123481591948182
12,63,effect,-6.779399871826172,1.1523594639117933,-6.402374058345945,10.354426531464698
13,222,star,-6.788099765777588,1.5670734976783085,-7.370198526099297,10.615663421592883
14,152,need,-6.803400039672852,1.801493270535575,-7.219220130931897,11.47030640881676
15,1649,soul,-6.805300235748291,1.5988825617089506,-7.323487227379229,8.390981620241522
16,411,show,-6.813000202178955,1.5287260012430737,-7.008223607265563,9.547388639645677
17,1079,synth,-6.815000057220459,0.8534045906667385,-6.277446341234534,8.000191049742083
18,223,start,-6.8267998695373535,1.2652409343335387,-6.860115206735517,9.542037743956591
19,1087,trying,-6.839200019836426,1.2902527097388794,-6.522502228694594,7.179550245254847
20,1102,actually,-6.841400146484375,1.123995191745967,-6.675476621854535,8.472707432013559
21,1172,down,-6.844099998474121,1.6470187576710755,-6.902899890182253,9.059896331066726
22,639,playing,-6.847799777984619,1.3173256921086922,-6.650017677439161,8.611931253393038
23,1995,project,-6.853600025177002,1.2654598006079785,-6.2535905407221275,9.2355284931108
24,1712,dance,-6.856599807739258,1.2524905482922852,-6.952451127382706,11.407761975043549
25,112,house,-6.8653998374938965,1.2975813074394151,-6.99247014437144,11.613672554562699
26,454,version,-6.870100021362305,1.892635356062031,-6.454015262664446,9.485688987634457
27,332,fact,-6.904399871826172,1.1653367756210795,-6.407620318074347,8.354297756859712
28,735,young,-6.92519998550415,1.7475232679701438,-7.357165002416462,9.42611109506376
29,4,acoustic,-6.92609977722168,1.968611661635341,-6.378929317020925,8.913064595416651
30,32,career,-6.936600208282471,1.730997471296847,-6.460100529365211,8.747994804863634
31,373,musical,-6.9394001960754395,1.3357533355261362,-6.2772149887226645,8.304997683585544
32,2018,tell,-6.9496002197265625,1.484550705194353,-6.110524098272911,6.2209885169893715
33,129,label,-6.966899871826172,1.3122109904427786,-6.337288583632035,9.303431741050858
34,368,material,-6.969399929046631,1.7824755385670648,-6.673967727129912,10.330419234473787
35,1599,night,-6.982100009918213,1.676698592993075,-7.121901113615789,9.488801580648849
36,4204,finally,-6.986599922180176,1.2807255947150191,-6.1943624417848655,6.0063172718242335
37,85,genre,-7.00029993057251,1.3813024319494092,-6.8325668914058735,11.207591094307709
38,795,friend,-7.018400192260742,1.44522228445093,-6.172342491668263,6.6626349151040545
39,1590,look,-7.025599956512451,1.7648239143647757,-7.233638763024854,12.338738976136625
40,1205,get,-7.0279998779296875,0.9266325505318986,-7.154970223162367,8.841688112278566
41,753,black,-7.030700206756592,1.6811850540314606,-7.203070308551183,12.381145130916304
42,392,recording,-7.0335001945495605,1.663481093017778,-6.22749720690032,8.918669027952932
43,1989,noise,-7.036300182342529,1.264521012958981,-6.5462389053521335,10.128972986671975
44,644,producer,-7.061600208282471,1.3016987675324885,-6.896129209840397,11.081859345187535
45,2214,feature,-7.065199851989746,1.3334995217509085,-5.808752840880294,8.610214542755527
46,1308,recent,-7.0792999267578125,1.3277238790408983,-6.267465513261986,7.428011598894332
47,2718,eye,-7.0868000984191895,1.2905341500285437,-6.494732101612955,6.468683975849071
48,501,clear,-7.087900161743164,1.2480314024898147,-6.42269601780892,7.152678481356923
49,161,original,-7.0894999504089355,1.9579596003147173,-6.726443314866929,11.45894532961458
50,34,case,-7.097899913787842,1.1416277524872425,-6.093399235061257,6.528751733571594
51,417,small,-7.10830020904541,1.6694182448501143,-6.098419154237541,7.5440506805125
52,19,ballad,-7.162199974060059,1.271524816262773,-5.958983785580143,5.796211071238827
53,1075,soundtrack,-7.177499771118164,1.2141089581493003,-5.832599126485919,5.610265018976997
54,425,special,-7.227700233459473,1.1203585180850288,-5.453995090753134,5.154251037819151
55,20150,spielberg,-7.249300003051758,0.9865887934957789,-4.861686025422575,4.333265559041548
56,1628,reference,-7.264500141143799,1.1927684343331622,-5.725344311702179,5.486145744978099
57,2255,oscar,-7.335100173950195,1.0368628040672117,-5.086577963883867,4.656238867682518
58,426,special_effect,-7.623499870300293,-0.8662102221227802,3.1249234262006653,-4.111721639962424
59,44,count,-7.742700099945068,1.0018143837898916,-4.930049801504349,4.431435791732738
60,18241,hoffman,-7.840400218963623,-0.8016865203346197,2.8175994075489164,-3.6948000498130735
61,14659,babel,-8.046600341796875,-0.8986375349552388,4.5218146681499665,-5.6164036262191885
62,14722,metric,-8.07759952545166,-1.3426924791455852,4.498868873268626,-4.97241634570605
63,7487,superb,-8.128600120544434,-0.8169605245130335,2.845899133919624,-3.7326003162986865
64,20373,haines,-8.145600318908691,-1.3475523001500767,4.525228915495885,-4.998091769226723
65,18538,lanegan,-8.164899826049805,-1.8122370412060664,4.059457985223947,-5.808551783929421
66,1536,cheesy,-8.174799919128418,-0.8795341412980204,3.032820754330111,-3.930717443540229
67,4275,tell_story,-8.291500091552734,-0.998077666389939,3.6442692155117005,-4.747631135501432
68,15573,bravura,-8.311699867248535,-0.9878928754461159,5.406489127068175,-7.078826441800462
69,7324,garbus,-8.330499649047852,-1.2358794187707824,4.643031540701883,-5.893277925094268
70,8907,dennis,-8.336999893188477,-1.2327706563179854,4.8604776870587845,-6.798718134146411
71,15898,steven,-8.376299858093262,-0.8890227530381646,3.1225383826505695,-4.104993658607777
72,14593,coppola,-8.38070011138916,-0.9120725855895195,3.4231526879405756,-4.339605529029482
73,16082,khan,-8.395299911499023,-1.1427024610153091,5.003985423874992,-6.5428123572528225
74,16974,dulli,-8.422200202941895,-1.5327772597922378,5.418988802613749,-7.25110728937353
75,19299,streep,-8.50469970703125,-0.5402751803432199,4.2450319442319495,-5.129152465052994
76,5580,phillips,-8.541999816894531,-1.0943120508506787,4.3175708773712635,-5.91349767747771
77,19741,heist,-8.570699691772461,-1.088008655926528,4.228017073841864,-5.621005723712375
78,19501,dock,-8.580900192260742,-1.35551612105959,6.460602639546495,-8.959017285294152
79,4361,calibrated,-8.590200424194336,-1.0880810134741152,4.768419476691378,-6.363510383345535
80,16032,viewing,-8.613200187683105,-0.9454415506902751,3.65839338211065,-4.6410235144302865
81,2981,electrifying,-8.614899635314941,-1.0149890053483415,3.76950724827414,-4.939345316471237
82,980,funnier,-8.651200294494629,-1.086189384804985,4.152165092200283,-5.524889131104853
83,17509,action_movie,-8.661600112915039,-0.9425985116015501,3.4711521265411114,-4.390282467578442
84,17138,gladiator,-8.664999961853027,-1.3276575696067336,6.041765134908116,-8.2163019591496
85,20476,balboa,-8.66819953918457,-1.2027711876372114,5.415476010842668,-7.655026470089724
86,19296,fonda,-8.684599876403809,-0.902086151586274,4.705074866703509,-5.86693452750857
87,7120,brien,-8.688699722290039,-1.168867050196288,5.268050044358789,-6.599923879309358
88,18044,grandstanding,-8.74489974975586,-1.3331307177438756,6.024291249253234,-8.177371707614409
89,7797,cable,-8.75100040435791,-1.3027844860454685,5.033102204834774,-7.175293695948569
90,1148,cleveland,-8.816699981689453,-1.2779337960493506,4.727188449984503,-5.8960491932070465
91,19297,meryl,-8.829899787902832,-0.6434667531386387,5.961653837383957,-7.9295814595920575
92,20148,hokum,-8.838700294494629,-1.2882138453502319,5.58743692683573,-7.724637327067376
93,16918,body_count,-8.851300239562988,-0.8703553548942132,4.105225842056818,-5.768675341323243
94,20006,masquerading,-8.866299629211426,-1.339977973676332,5.635267628325425,-8.022392718236123
95,16997,sandra,-8.922800064086914,-1.4667342490973798,7.053951340323758,-9.838711343898375
96,19329,theology,-8.952899932861328,-1.5122133772706834,7.10454289355022,-10.49192184615061
97,9113,ballerina,-8.977499961853027,-1.4184288746869684,6.881435916604181,-9.614811535724131
98,7098,rowland,-9.060099601745605,-1.3983857208394013,6.757724672526189,-9.429134532780587
99,19065,barnett,-9.121800422668457,-1.4936255966504408,7.715432704967178,-10.398974815480223
100,17854,lowdown,-9.23390007019043,-1.6813629597597763,7.618344238227407,-10.844931869871429
101,18039,sufficiently,-9.255999565124512,-1.7114371720394845,7.417523469411129,-10.259069514942182
102,13951,district,-9.269200325012207,-0.9693206299232417,5.361031498115926,-7.263663194569149
103,20369,freudian,-9.280099868774414,-1.3016382187783702,7.717157666285115,-10.642781662826746
104,18539,mark_lanegan,-9.291899681091309,-1.6676925213592326,8.607595241950072,-12.006234147764115
