idx,term_id,term,relevance,x,y,z
0,976,folk,-6.213399887084961,4.532563351644255,8.500753161051122,4.1117747587331515
1,1216,heart,-6.405300140380859,4.923637775482246,8.94412871199035,3.7938134994980377
2,1712,dance,-6.613500118255615,4.836347458348263,8.458835202392287,3.240121885639395
3,2438,blue,-6.651700019836426,4.681989040503171,8.104750304049924,4.091703710603021
4,688,story,-6.692699909210205,4.740704804430798,10.32600617339808,4.114536329996742
5,391,recorded,-6.727399826049805,3.394926870800432,5.5877400865179805,2.752446415466245
6,929,character,-6.76609992980957,4.805130730469615,10.229452984104281,4.0879905162091505
7,2315,approach,-6.779099941253662,3.3115564795202275,5.431028599518719,3.0255484630316776
8,1447,listener,-6.789400100708008,2.6779245741044826,4.51456639156842,2.6310323116792693
9,1989,noise,-6.843299865722656,4.014160790243588,7.4130117469717725,3.281485877374707
10,753,black,-6.8520002365112305,5.374942553253585,9.15734807851417,3.858538000715626
11,85,genre,-6.854700088500977,4.901512855210812,8.271493295702005,3.560411308633487
12,381,over,-6.85860013961792,4.258503970429078,6.324125794232419,3.7075239281498216
13,2099,metal,-6.866300106048584,5.419902788012147,9.146539297797268,3.847302397275338
14,373,musical,-6.869200229644775,3.2300699118993617,5.76813398125252,3.289664467531325
15,601,length,-6.88539981842041,3.6418726339991854,6.620076437999514,3.46262258279744
16,2710,electronic,-6.886499881744385,3.1500888087836856,6.637170771691847,3.191171728368323
17,639,playing,-6.88730001449585,3.85390791814956,5.810887309077927,3.3043901587959423
18,392,recording,-6.90310001373291,3.493062738200872,6.151498215517533,2.8062670500331595
19,223,start,-6.914400100708008,4.289710710616825,7.043494394996772,3.4538186458772833
20,4,acoustic,-6.915299892425537,3.929921742056577,6.384179515553972,2.934592862804902
21,5422,sonic,-6.935400009155273,2.4420886654442153,3.731173359263242,2.4042450264107185
22,495,change,-6.937300205230713,2.9945467239782904,4.591721718063185,3.270347358240075
23,1751,instrument,-6.941699981689453,2.51255109755184,4.493541230726471,2.5670976253946716
24,990,head,-6.942500114440918,4.356397835468383,6.28958310652985,3.637756826035177
25,1583,late,-6.970399856567383,3.3804766832401656,4.394385701104676,2.7530785646513793
26,1833,way,-6.974400043487549,2.8395320206112213,4.502506073761483,3.712578785250867
27,129,label,-6.980299949645996,3.7467239066046942,6.772565851915021,3.192292418464249
28,3116,performance,-6.981599807739258,4.724940704203705,10.356159466692567,4.120500704659332
29,1879,give,-6.985599994659424,4.418014457577112,7.024753521519498,4.205936390801793
30,790,find,-6.988999843597412,3.15039836617852,4.23944348299718,3.203212785444336
31,644,producer,-7.001800060272217,4.650613692391602,8.19170294349956,3.2564420281176587
32,1325,scene,-7.002900123596191,5.157265077371305,9.48767398042685,3.79153192536416
33,112,house,-7.0229997634887695,4.85800048166291,8.62237436057565,3.2861099962249347
34,1603,opening,-7.026299953460693,2.5337030301719707,3.4053007271494335,2.325960211102508
35,212,simple,-7.033699989318848,3.586490197085065,5.153652198948358,3.590093031340689
36,332,fact,-7.05079984664917,3.41128284884225,5.786935561724414,3.578545277023223
37,1991,part,-7.0518999099731445,4.475478281665776,8.184177208802657,3.661787907087048
38,1308,recent,-7.060100078582764,3.577711963319395,4.705163496130539,3.2078720209977254
39,1599,night,-7.0644001960754395,4.274156555763244,7.025169503409801,3.8922018783764734
40,2967,back,-7.082099914550781,3.2245508595492525,3.9439309682543757,2.797679789524826
41,2811,ambient,-7.082300186157227,2.0792052491155144,3.1220020012021648,2.0657431253452647
42,2564,american,-7.091400146484375,5.18509917396683,9.208956080991298,4.118397344352923
43,2214,feature,-7.092199802398682,3.3577307082601506,6.176256035638462,3.952338216650932
44,370,member,-7.0945000648498535,3.078574029634127,4.527754601240328,2.509845835307842
45,279,arrangement,-7.104800224304199,2.627759195543198,3.825300537881611,2.923342182499659
46,315,decade,-7.106100082397461,3.969106860689152,5.819054578892234,3.1076172223747998
47,542,emotional,-7.116199970245361,3.9386278336209983,5.891837842391224,4.231210618594329
48,812,human,-7.118100166320801,5.052921470068453,7.421916310139581,3.9976851563063036
49,1888,jazz,-7.11959981918335,2.4322153921687684,5.551101037486084,3.669824064996176
50,541,element,-7.132299900054932,2.5341011574957983,4.78019999869384,2.987514719749236
51,702,texture,-7.132599830627441,1.9193702004820374,2.599058112850166,1.8730870510651452
52,1858,composition,-7.185100078582764,1.8066195520585708,2.266918353953741,1.7605090302245088
53,445,title_track,-7.192399978637695,2.0559035504760117,2.6678758504473388,1.9629655624637283
54,2893,loop,-7.206099987030029,1.7369118073173104,2.161499076337549,1.696638304505512
55,20345,angelakos,-7.217400074005127,-2.188399992831304,-3.5520787686995856,-1.7935672141047372
56,3177,crafted,-7.263999938964844,1.3937245896036892,1.6127372075063013,1.3986132680477759
57,3711,experimental,-7.285600185394287,1.1472597683389516,1.2615691295040101,1.1682744399261258
58,4697,david,-7.300600051879883,2.240411435768034,2.5505755543811186,2.23402043364941
59,8669,passion,-7.438600063323975,0.9665278185693625,0.9900320792854049,1.0016666547416424
60,1145,chicago,-7.517600059509277,0.8721883128983748,0.8516361734495215,0.9165629031205675
61,5117,cohen,-7.565999984741211,0.02289700470420248,-0.4162070686211296,0.13367110180961564
62,3445,national,-7.633299827575684,0.4375531750873187,0.2187247239820988,0.517847579188147
63,8189,hiss,-7.753399848937988,-0.30072259900966813,-0.957249745360556,-0.2203910392399351
64,6782,philadelphia,-7.814899921417236,-0.6268304558714822,-1.3943174530354638,-0.40579544519478183
65,18620,visually,-7.891600131988525,-0.1094889829282959,-0.6149824821055428,0.004812261363357602
66,16575,well_crafted,-7.895599842071533,-0.6487794800279064,-1.5381875483194034,-0.7518230375888024
67,20370,brubaker,-7.954100131988525,-2.509743645725116,-4.24609846420691,-2.1210376111283398
68,19825,joyner,-7.962100028991699,-1.8713123937647491,-3.259479701430656,-1.4468564078485104
69,20466,antonioni,-8.008099555969238,-1.5865860762356099,-2.4248667094861975,-1.324949587534963
70,20168,suspenseful,-8.012900352478027,-0.8003848436518475,-2.007906973840269,-0.9587043353562461
71,17663,coxon,-8.036999702453613,-1.0730533826263222,-2.6233246181234646,-1.0857741043735927
72,14964,realist,-8.066200256347656,-1.578638756867661,-2.253172572484352,-0.955658780586834
73,16003,mcguire,-8.120400428771973,-1.4028390785533214,-2.4979456869529195,-0.7650531086977739
74,8594,vile,-8.152700424194336,-0.9397138552144,-2.2183118924780074,-0.619173844386776
75,19950,django,-8.158900260925293,-1.199639550166993,-2.4031692025413336,-1.376423565943724
76,6981,mitchell,-8.188599586486816,-1.1353487218637701,-1.7283021023958103,-0.6355076793222252
77,14236,malick,-8.213800430297852,-1.140173566398181,-1.8616239838702273,-1.0754123211736155
78,20227,polizze,-8.239299774169922,-2.9866886498467737,-4.0043138128977835,-2.9406734481446213
79,16729,baird,-8.239399909973145,-2.471224548744077,-4.60609982545254,-2.4734015434981687
80,9178,astonishing,-8.289999961853027,-0.8269484236669025,-1.64642695861641,-0.4426085519464127
81,3214,heroic,-8.297100067138672,-1.4701532400987738,-2.890437543437836,-1.2717475611814721
82,18294,espers,-8.344099998474121,-2.8997658635736347,-5.374901444148745,-2.920083035649439
83,19625,purling,-8.400699615478516,-3.546480044279001,-4.600676312864734,-3.3431438516571825
84,5193,leonard,-8.421600341796875,-1.7812767788118986,-3.314208365315899,-1.2594738458893118
85,19626,purling_hiss,-8.445500373840332,-3.29626435404948,-4.669177356328393,-3.5166306618998044
86,20458,freeman,-8.507100105285645,-0.24391233544597984,-0.7895959794065763,-0.1031457872281704
87,13984,haley,-8.543600082397461,-2.175065467126385,-3.8045613051512928,-1.9371300803293712
88,19866,mazurek,-8.561300277709961,-3.2858548871777846,-6.246020797401415,-2.825955420950809
89,14622,rigorous,-8.680500030517578,-2.1685545894741547,-3.8411891274582874,-1.9534600521492465
90,19406,sensational,-8.684300422668457,-3.5690728746670555,-6.108261570927002,-3.5738979841463068
91,19387,sherwood,-8.685400009155273,-3.3990435376069206,-5.787164758625371,-3.225450793374523
92,18957,mason,-8.719200134277344,-3.215548707732251,-5.243145430060232,-2.6141925672994577
93,10864,ruth,-8.7322998046875,-4.049676692842726,-5.831571500478711,-2.9849628922831357
94,9775,hare,-8.75979995727539,-3.757676629206734,-5.90350453032538,-3.5754333918301544
95,9770,cutting_room,-8.763899803161621,-4.550866723461113,-6.365230566605549,-3.859484030069006
